(143, 19, 876) 54 0 -44 -47 0 0 0
(655, 762, 944) 60 0 -48 0 31 0 0
(962, 343, 961) 0 -49 0 0 0 46 0
(101, 170, 908) 0 -77 0 -42 24 0 0
(101, 170, 130) 0 -79 0 -57 30 0 0
(101, 170, 693) 0 -84 0 -45 25 0 0
(101, 908, 130) 0 -78 0 -52 24 0 0
(101, 908, 693) 0 -83 0 -40 19 0 0
(101, 130, 693) 0 -85 0 -55 25 0 0
(170, 908, 130) 0 -78 0 -62 33 0 0
(170, 908, 693) 0 -83 0 -50 28 0 0
(170, 130, 693) 0 -85 0 -65 34 0 0
(908, 130, 693) 0 -84 0 -60 28 0 0
(50, 835, 561) 0 0 -48 -39 0 28 0
(496, 102, 71) 0 -23 -48 0 0 26 0
(50, 886, 129) 76 -46 0 0 0 78 0
(50, 886, 498) 56 -38 0 0 0 53 0
(50, 886, 296) 69 -39 0 0 0 59 0
(50, 129, 498) 81 -41 0 0 0 73 0
(50, 129, 296) 94 -42 0 0 0 79 0
(50, 498, 296) 74 -34 0 0 0 54 0
(886, 129, 498) 57 -37 0 0 0 75 0
(886, 129, 296) 70 -38 0 0 0 81 0
(886, 498, 296) 50 -30 0 0 0 56 0
(129, 498, 296) 75 -33 0 0 0 76 0
(200, 778, 527) 58 0 0 0 0 0 104
(705, 685, 750) 73 0 0 -29 0 0 57
(836, 363, 405) 0 -41 0 0 37 0 0
(476, 29, 458) 98 -48 0 -38 0 18 0
(476, 29, 512) 87 -30 0 -46 0 13 0
(476, 458, 512) 88 -41 0 -30 0 9 0
(29, 458, 512) 75 -34 0 -30 0 11 0
(868, 62, 422) 0 0 -32 0 37 0 0
(662, 203, 818) 0 0 -38 0 0 11 67
(753, 468, 598) 0 -36 -73 0 0 0 61
(753, 468, 852) 0 -43 -74 0 0 0 60
(753, 598, 852) 0 -45 -75 0 0 0 77
(468, 598, 852) 0 -50 -75 0 0 0 51
(133, 24, 576) 60 -46 -34 0 0 0 0
(62, 285, 841) 0 0 0 -23 18 25 0
(27, 973, 215) 0 0 0 0 0 47 64
(27, 973, 357) 0 -35 0 -39 0 54 69
(27, 973, 3) 0 -24 0 -48 0 48 70
(27, 973, 237) 0 -32 0 -54 0 51 63
(27, 215, 357) 0 0 0 0 0 46 62
(27, 215, 3) 0 0 0 0 0 40 63
(27, 215, 237) 0 0 0 0 0 43 56
(27, 357, 3) 0 -31 0 -38 0 47 68
(27, 357, 237) 0 -39 0 -44 0 50 61
(27, 3, 237) 0 -28 0 -53 0 44 62
(973, 215, 357) 0 0 0 0 0 54 54
(973, 215, 3) 0 0 0 0 0 48 55
(973, 215, 237) 0 0 0 0 0 51 48
(973, 357, 3) 0 -36 0 -37 0 55 60
(973, 357, 237) 0 -44 0 -43 0 58 53
(973, 3, 237) 0 -33 0 -52 0 52 54
(215, 357, 3) 0 0 0 0 0 47 53
(215, 357, 237) 0 0 0 0 0 50 46
(215, 3, 237) 0 0 0 0 0 59 47
(357, 3, 237) 0 -40 0 -42 0 51 52
(112, 887, 769) 0 -49 -35 -79 0 23 0
(112, 887, 503) 0 -36 -35 -65 0 23 0
(112, 887, 94) 0 -35 -24 -63 0 27 0
(112, 769, 503) 0 -51 -44 -72 0 21 0
(112, 769, 94) 0 -50 -33 -70 0 25 0
(112, 503, 94) 0 -37 -33 -56 0 25 0
(887, 769, 503) 0 -44 -30 -75 0 23 0
(887, 769, 94) 0 -43 -19 -73 0 27 0
(887, 503, 94) 0 -30 -19 -59 0 27 0
(769, 503, 94) 0 -45 -28 -66 0 25 0
(330, 494, 597) 63 0 0 -70 36 17 0
(330, 494, 337) 61 0 0 -93 22 24 0
(330, 494, 354) 60 0 0 -74 30 20 0
(330, 597, 337) 61 0 0 -73 25 22 0
(330, 597, 354) 60 0 0 -54 33 18 0
(330, 337, 354) 58 0 0 -77 19 25 0
(494, 597, 337) 49 0 0 -88 28 18 0
(494, 597, 354) 48 0 0 -69 36 14 0
(494, 337, 354) 46 0 0 -92 22 21 0
(597, 337, 354) 46 0 0 -72 25 19 0
(294, 892, 125) 0 -31 0 0 0 44 0
(419, 642, 952) 43 -50 0 -53 0 45 0
(419, 642, 441) 52 -34 0 -46 0 53 0
(419, 642, 899) 42 -40 0 -44 0 42 0
(419, 952, 441) 56 -36 0 -49 0 51 0
(419, 952, 899) 46 -42 0 -47 0 40 0
(419, 441, 899) 55 -26 0 -40 0 48 0
(642, 952, 441) 59 -39 0 -47 0 46 0
(642, 952, 899) 49 -45 0 -45 0 35 0
(642, 441, 899) 58 -29 0 -38 0 43 0
(952, 441, 899) 62 -31 0 -41 0 41 0
(949, 755, 828) 0 0 -32 -73 0 14 0
(949, 755, 731) 0 0 -45 -64 0 19 0
(949, 828, 731) 0 0 -43 -75 0 17 0
(755, 828, 731) 0 0 -42 -73 0 22 0
(857, 507, 65) 49 -42 0 0 20 0 0
(458, 260, 883) 0 -87 0 0 0 27 35
(458, 260, 32) 0 -76 0 0 0 25 45
(458, 883, 32) 0 -80 0 0 0 23 48
(260, 883, 32) 0 -87 0 0 0 27 49
(64, 906, 979) 0 0 -40 -50 22 0 0
(64, 906, 254) 0 0 -42 -36 27 0 0
(64, 979, 254) 0 0 -39 -45 39 0 0
(906, 979, 254) 0 0 -50 -52 23 0 0
(819, 343, 318) 0 -36 0 0 0 25 0
(91, 238, 535) 0 -86 0 0 0 18 63
(91, 238, 904) 0 -68 0 0 0 23 61
(91, 535, 904) 0 -84 0 0 0 20 48
(238, 535, 904) 0 -86 0 0 0 20 68
(352, 82, 574) 54 0 -63 0 21 0 0
(28, 653, 117) 0 0 0 -48 13 0 58
(2, 17, 851) 58 -40 0 0 22 0 0
(857, 128, 57) 0 -36 0 0 20 37 0
(857, 128, 977) 0 -29 0 0 17 33 0
(857, 57, 977) 0 -45 0 0 21 39 0
(128, 57, 977) 0 -37 0 0 23 35 0
(220, 566, 497) 0 0 -34 0 14 0 31
(971, 359, 499) 62 -45 0 -35 0 0 0
(242, 995, 963) 0 -90 -39 0 0 16 41
(242, 995, 771) 0 -101 -29 0 0 8 56
(242, 995, 943) 0 -83 -29 0 0 9 35
(242, 963, 771) 0 -103 -37 0 0 14 54
(242, 963, 943) 0 -85 -37 0 0 15 33
(242, 771, 943) 0 -96 -27 0 0 7 48
(995, 963, 771) 0 -87 -42 0 0 13 68
(995, 963, 943) 0 -69 -42 0 0 14 47
(995, 771, 943) 0 -80 -32 0 0 6 62
(963, 771, 943) 0 -82 -40 0 0 12 60
(315, 721, 432) 105 0 -47 0 24 0 0
(315, 721, 184) 124 0 -38 0 36 0 0
(315, 432, 184) 137 0 -30 0 31 0 0
(721, 432, 184) 138 0 -44 0 32 0 0
(264, 818, 688) 0 -88 0 -18 0 0 0
(705, 226, 478) 106 0 0 0 0 0 45
