Itemset	day	sentiment
( 315, 432, 184)	5	0
( 315, 432, 184)	6	0
( 721, 432, 184)	0	138
( 721, 432, 184)	1	0
( 721, 432, 184)	2	-44
( 721, 432, 184)	3	0
( 721, 432, 184)	4	32
( 721, 432, 184)	5	0
( 721, 432, 184)	6	0
( 264, 818, 688)	0	0
( 264, 818, 688)	1	-88
( 264, 818, 688)	2	0
( 264, 818, 688)	3	-18
( 264, 818, 688)	4	0
( 264, 818, 688)	5	0
( 264, 818, 688)	6	0
( 705, 226, 478)	0	106
( 705, 226, 478)	1	0
( 705, 226, 478)	2	0
( 705, 226, 478)	3	0
( 705, 226, 478)	4	0
( 705, 226, 478)	5	0
( 705, 226, 478)	6	45
