Itemset	day	sentiment
( 476, 29, 512)	6	0
( 476, 458, 512)	0	88
( 476, 458, 512)	1	-41
( 476, 458, 512)	2	0
( 476, 458, 512)	3	-30
( 476, 458, 512)	4	0
( 476, 458, 512)	5	9
( 476, 458, 512)	6	0
( 29, 458, 512)	0	75
( 29, 458, 512)	1	-34
( 29, 458, 512)	2	0
( 29, 458, 512)	3	-30
( 29, 458, 512)	4	0
( 29, 458, 512)	5	11
( 29, 458, 512)	6	0
( 868, 62, 422)	0	0
( 868, 62, 422)	1	0
( 868, 62, 422)	2	-32
( 868, 62, 422)	3	0
( 868, 62, 422)	4	37
( 868, 62, 422)	5	0
( 868, 62, 422)	6	0
( 662, 203, 818)	0	0
( 662, 203, 818)	1	0
( 662, 203, 818)	2	-38
( 662, 203, 818)	3	0
( 662, 203, 818)	4	0
( 662, 203, 818)	5	11
( 662, 203, 818)	6	67
( 753, 468, 598)	0	0
( 753, 468, 598)	1	-36
( 753, 468, 598)	2	-73
( 753, 468, 598)	3	0
( 753, 468, 598)	4	0
( 753, 468, 598)	5	0
( 753, 468, 598)	6	61
( 753, 468, 852)	0	0
( 753, 468, 852)	1	-43
( 753, 468, 852)	2	-74
( 753, 468, 852)	3	0
( 753, 468, 852)	4	0
( 753, 468, 852)	5	0
( 753, 468, 852)	6	60
( 753, 598, 852)	0	0
( 753, 598, 852)	1	-45
( 753, 598, 852)	2	-75
( 753, 598, 852)	3	0
( 753, 598, 852)	4	0
( 753, 598, 852)	5	0
( 753, 598, 852)	6	77
( 468, 598, 852)	0	0
( 468, 598, 852)	1	-50
( 468, 598, 852)	2	-75
( 468, 598, 852)	3	0
( 468, 598, 852)	4	0
( 468, 598, 852)	5	0
( 468, 598, 852)	6	51
( 133, 24, 576)	0	60
( 133, 24, 576)	1	-46
( 133, 24, 576)	2	-34
( 133, 24, 576)	3	0
( 133, 24, 576)	4	0
( 133, 24, 576)	5	0
( 133, 24, 576)	6	0
( 62, 285, 841)	0	0
( 62, 285, 841)	1	0
( 62, 285, 841)	2	0
( 62, 285, 841)	3	-23
( 62, 285, 841)	4	18
( 62, 285, 841)	5	25
( 62, 285, 841)	6	0
( 27, 973, 215)	0	0
( 27, 973, 215)	1	0
( 27, 973, 215)	2	0
( 27, 973, 215)	3	0
( 27, 973, 215)	4	0
( 27, 973, 215)	5	47
( 27, 973, 215)	6	64
( 27, 973, 357)	0	0
( 27, 973, 357)	1	-35
( 27, 973, 357)	2	0
( 27, 973, 357)	3	-39
( 27, 973, 357)	4	0
( 27, 973, 357)	5	54
( 27, 973, 357)	6	69
( 27, 973, 3)	0	0
( 27, 973, 3)	1	-24
( 27, 973, 3)	2	0
( 27, 973, 3)	3	-48
( 27, 973, 3)	4	0
( 27, 973, 3)	5	48
( 27, 973, 3)	6	70
( 27, 973, 237)	0	0
( 27, 973, 237)	1	-32
( 27, 973, 237)	2	0
( 27, 973, 237)	3	-54
( 27, 973, 237)	4	0
( 27, 973, 237)	5	51
( 27, 973, 237)	6	63
( 27, 215, 357)	0	0
( 27, 215, 357)	1	0
( 27, 215, 357)	2	0
( 27, 215, 357)	3	0
( 27, 215, 357)	4	0
( 27, 215, 357)	5	46
( 27, 215, 357)	6	62
( 27, 215, 3)	0	0
( 27, 215, 3)	1	0
( 27, 215, 3)	2	0
( 27, 215, 3)	3	0
( 27, 215, 3)	4	0
( 27, 215, 3)	5	40
( 27, 215, 3)	6	63
( 27, 215, 237)	0	0
( 27, 215, 237)	1	0
( 27, 215, 237)	2	0
( 27, 215, 237)	3	0
( 27, 215, 237)	4	0
( 27, 215, 237)	5	43
( 27, 215, 237)	6	56
( 27, 357, 3)	0	0
( 27, 357, 3)	1	-31
( 27, 357, 3)	2	0
( 27, 357, 3)	3	-38
( 27, 357, 3)	4	0
( 27, 357, 3)	5	47
( 27, 357, 3)	6	68
( 27, 357, 237)	0	0
( 27, 357, 237)	1	-39
( 27, 357, 237)	2	0
( 27, 357, 237)	3	-44
( 27, 357, 237)	4	0
( 27, 357, 237)	5	50
( 27, 357, 237)	6	61
( 27, 3, 237)	0	0
( 27, 3, 237)	1	-28
( 27, 3, 237)	2	0
( 27, 3, 237)	3	-53
( 27, 3, 237)	4	0
( 27, 3, 237)	5	44
( 27, 3, 237)	6	62
( 973, 215, 357)	0	0
( 973, 215, 357)	1	0
( 973, 215, 357)	2	0
( 973, 215, 357)	3	0
( 973, 215, 357)	4	0
( 973, 215, 357)	5	54
( 973, 215, 357)	6	54
( 973, 215, 3)	0	0
( 973, 215, 3)	1	0
( 973, 215, 3)	2	0
( 973, 215, 3)	3	0
( 973, 215, 3)	4	0
( 973, 215, 3)	5	48
( 973, 215, 3)	6	55
( 973, 215, 237)	0	0
( 973, 215, 237)	1	0
( 973, 215, 237)	2	0
( 973, 215, 237)	3	0
( 973, 215, 237)	4	0
( 973, 215, 237)	5	51
( 973, 215, 237)	6	48
( 973, 357, 3)	0	0
( 973, 357, 3)	1	-36
( 973, 357, 3)	2	0
( 973, 357, 3)	3	-37
( 973, 357, 3)	4	0
( 973, 357, 3)	5	55
( 973, 357, 3)	6	60
( 973, 357, 237)	0	0
( 973, 357, 237)	1	-44
( 973, 357, 237)	2	0
( 973, 357, 237)	3	-43
( 973, 357, 237)	4	0
( 973, 357, 237)	5	58
( 973, 357, 237)	6	53
( 973, 3, 237)	0	0
( 973, 3, 237)	1	-33
( 973, 3, 237)	2	0
( 973, 3, 237)	3	-52
( 973, 3, 237)	4	0
( 973, 3, 237)	5	52
( 973, 3, 237)	6	54
( 215, 357, 3)	0	0
( 215, 357, 3)	1	0
( 215, 357, 3)	2	0
( 215, 357, 3)	3	0
( 215, 357, 3)	4	0
( 215, 357, 3)	5	47
( 215, 357, 3)	6	53
( 215, 357, 237)	0	0
( 215, 357, 237)	1	0
( 215, 357, 237)	2	0
( 215, 357, 237)	3	0
( 215, 357, 237)	4	0
( 215, 357, 237)	5	50
( 215, 357, 237)	6	46
( 215, 3, 237)	0	0
( 215, 3, 237)	1	0
( 215, 3, 237)	2	0
( 215, 3, 237)	3	0
( 215, 3, 237)	4	0
( 215, 3, 237)	5	59
( 215, 3, 237)	6	47
( 357, 3, 237)	0	0
( 357, 3, 237)	1	-40
( 357, 3, 237)	2	0
( 357, 3, 237)	3	-42
( 357, 3, 237)	4	0
( 357, 3, 237)	5	51
( 357, 3, 237)	6	52
( 112, 887, 769)	0	0
( 112, 887, 769)	1	-49
( 112, 887, 769)	2	-35
( 112, 887, 769)	3	-79
( 112, 887, 769)	4	0
( 112, 887, 769)	5	23
( 112, 887, 769)	6	0
( 112, 887, 503)	0	0
( 112, 887, 503)	1	-36
( 112, 887, 503)	2	-35
( 112, 887, 503)	3	-65
( 112, 887, 503)	4	0
( 112, 887, 503)	5	23
( 112, 887, 503)	6	0
( 112, 887, 94)	0	0
( 112, 887, 94)	1	-35
( 112, 887, 94)	2	-24
( 112, 887, 94)	3	-63
( 112, 887, 94)	4	0
( 112, 887, 94)	5	27
( 112, 887, 94)	6	0
( 112, 769, 503)	0	0
( 112, 769, 503)	1	-51
( 112, 769, 503)	2	-44
( 112, 769, 503)	3	-72
( 112, 769, 503)	4	0
( 112, 769, 503)	5	21
( 112, 769, 503)	6	0
( 112, 769, 94)	0	0
( 112, 769, 94)	1	-50
( 112, 769, 94)	2	-33
( 112, 769, 94)	3	-70
( 112, 769, 94)	4	0
( 112, 769, 94)	5	25
( 112, 769, 94)	6	0
( 112, 503, 94)	0	0
( 112, 503, 94)	1	-37
( 112, 503, 94)	2	-33
( 112, 503, 94)	3	-56
( 112, 503, 94)	4	0
( 112, 503, 94)	5	25
( 112, 503, 94)	6	0
( 887, 769, 503)	0	0
( 887, 769, 503)	1	-44
( 887, 769, 503)	2	-30
( 887, 769, 503)	3	-75
( 887, 769, 503)	4	0
( 887, 769, 503)	5	23
( 887, 769, 503)	6	0
( 887, 769, 94)	0	0
( 887, 769, 94)	1	-43
( 887, 769, 94)	2	-19
( 887, 769, 94)	3	-73
( 887, 769, 94)	4	0
( 887, 769, 94)	5	27
( 887, 769, 94)	6	0
( 887, 503, 94)	0	0
( 887, 503, 94)	1	-30
( 887, 503, 94)	2	-19
( 887, 503, 94)	3	-59
( 887, 503, 94)	4	0
( 887, 503, 94)	5	27
( 887, 503, 94)	6	0
( 769, 503, 94)	0	0
( 769, 503, 94)	1	-45
( 769, 503, 94)	2	-28
( 769, 503, 94)	3	-66
( 769, 503, 94)	4	0
( 769, 503, 94)	5	25
( 769, 503, 94)	6	0
( 330, 494, 597)	0	63
( 330, 494, 597)	1	0
( 330, 494, 597)	2	0
( 330, 494, 597)	3	-70
( 330, 494, 597)	4	36
( 330, 494, 597)	5	17
( 330, 494, 597)	6	0
( 330, 494, 337)	0	61
